trait,gene_file,gene_name,MGmin,epsilon,stage,status,message
fiber,HORVU.MOREX.r3.3HG0301080.vcf.gz,HORVU.MOREX.r3.3HG0301080,2,0.5,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.3HG0301080.vcf.gz,HORVU.MOREX.r3.3HG0301080,2,0.6,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.3HG0301080.vcf.gz,HORVU.MOREX.r3.3HG0301080,3,,crosshap,crosshap_failed,CrossHap failed: object 'Varfile' not found
fiber,HORVU.MOREX.r3.4HG0339140.vcf.gz,HORVU.MOREX.r3.4HG0339140,2,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.4HG0339140.vcf.gz,HORVU.MOREX.r3.4HG0339140,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.4HG0339140.vcf.gz,HORVU.MOREX.r3.4HG0339140,3,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0642320.vcf.gz,HORVU.MOREX.r3.7HG0642320,2,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0642320.vcf.gz,HORVU.MOREX.r3.7HG0642320,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0642350.vcf.gz,HORVU.MOREX.r3.7HG0642350,2,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0642350.vcf.gz,HORVU.MOREX.r3.7HG0642350,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0642350.vcf.gz,HORVU.MOREX.r3.7HG0642350,3,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0642350.vcf.gz,HORVU.MOREX.r3.7HG0642350,3,0.4,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0642360.vcf.gz,HORVU.MOREX.r3.7HG0642360,2,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0642360.vcf.gz,HORVU.MOREX.r3.7HG0642360,2,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0642360.vcf.gz,HORVU.MOREX.r3.7HG0642360,3,,crosshap,crosshap_failed,CrossHap failed: object 'Varfile' not found
fiber,HORVU.MOREX.r3.7HG0642370.vcf.gz,HORVU.MOREX.r3.7HG0642370,,,gene_stats,no_valid_tests_for_gene,Gene produced zero valid omnibus tests across all MGmin and epsilon values.
fiber,HORVU.MOREX.r3.7HG0642370.vcf.gz,HORVU.MOREX.r3.7HG0642370,2,,crosshap,crosshap_failed,"CrossHap failed: ℹ In argument: `POS = as.numeric(.data$POS)`.
Caused by error in `.data$POS`:
! Column `POS` not found in `.data`."
fiber,HORVU.MOREX.r3.7HG0642370.vcf.gz,HORVU.MOREX.r3.7HG0642370,3,,crosshap,crosshap_failed,"CrossHap failed: ℹ In argument: `POS = as.numeric(.data$POS)`.
Caused by error in `.data$POS`:
! Column `POS` not found in `.data`."
fiber,HORVU.MOREX.r3.7HG0642420.vcf.gz,HORVU.MOREX.r3.7HG0642420,,,gene_stats,no_valid_tests_for_gene,Gene produced zero valid omnibus tests across all MGmin and epsilon values.
fiber,HORVU.MOREX.r3.7HG0642420.vcf.gz,HORVU.MOREX.r3.7HG0642420,2,,crosshap,crosshap_failed,"CrossHap failed: ℹ In argument: `POS = as.numeric(.data$POS)`.
Caused by error in `.data$POS`:
! Column `POS` not found in `.data`."
fiber,HORVU.MOREX.r3.7HG0642420.vcf.gz,HORVU.MOREX.r3.7HG0642420,3,,crosshap,crosshap_failed,"CrossHap failed: ℹ In argument: `POS = as.numeric(.data$POS)`.
Caused by error in `.data$POS`:
! Column `POS` not found in `.data`."
fiber,HORVU.MOREX.r3.7HG0642460.vcf.gz,HORVU.MOREX.r3.7HG0642460,2,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0642460.vcf.gz,HORVU.MOREX.r3.7HG0642460,2,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0642460.vcf.gz,HORVU.MOREX.r3.7HG0642460,3,,crosshap,crosshap_failed,CrossHap failed: object 'Varfile' not found
