"Trait","TraitClass","H2"
"Starch","Nutritional","0.492"
"β-glucan","Nutritional","0.277"
"Protein","Nutritional","0.271"
"Fiber","Nutritional","0.259"
"Flowering time","Agromorphological","0.766"
"Spike length","Agromorphological","0.374"
"Grain number","Agromorphological","0.348"
"Grain weight","Agromorphological","0.299"
"Plant height","Agromorphological","0.217"
"Tillers","Agromorphological","0.031"
