trait	pheno_type	lambda_pc3	lambda_pc5	lambda_pc10
betaglucan	BLUE	0.973456681655965	0.977061699666833	0.976313757823914
betaglucan	BLUP	0.973455801100543	0.977415615133823	0.976623302442786
fiber	BLUE	0.968560333905935	0.971234456072604	0.97448789143213
fiber	BLUP	0.969582669043607	0.972522279556672	0.97546326156831
protein	BLUE	0.977826269788794	0.973244042723424	0.982021236476727
protein	BLUP	0.977490428445847	0.972377462498203	0.981322018272858
starch	BLUE	0.984725461221676	0.986877684232762	0.981139335625367
starch	BLUP	0.984639245027141	0.986991425982257	0.981406252473793
