trait,gene_file,gene_name,title,epsilon,MGmin,kw_p_raw,n_ind,n_groups,group_sizes,combined_pdf_path,heatmap_pdf_path,elite_assignments_csv,cache_rds,status,note
betaglucan,HORVU.MOREX.r3.2HG0112910.vcf.gz,HORVU.MOREX.r3.2HG0112910,HORVU.MOREX.r3.2HG0112910,0.8,2,0.00110928185795767,206,4,12|22|64|108,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/CombinedPDF/betaglucan/HORVU.MOREX.r3.2HG0112910__MGmin2__E0.8.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0112910__MGmin2__E0.8__heatmaps.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/CombinedPDF/betaglucan/HORVU.MOREX.r3.2HG0112910__MGmin2__E0.8__elite_assignments.csv,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/Cache/betaglucan/HORVU.MOREX.r3.2HG0112910/HapObject.rds,success,""
betaglucan,HORVU.MOREX.r3.3HG0299450.vcf.gz,HORVU.MOREX.r3.3HG0299450,HORVU.MOREX.r3.3HG0299450,0.8,2,0.000776523135362065,181,4,10|11|28|132,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/CombinedPDF/betaglucan/HORVU.MOREX.r3.3HG0299450__MGmin2__E0.8.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/Heatmaps/betaglucan/HORVU.MOREX.r3.3HG0299450__MGmin2__E0.8__heatmaps.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/CombinedPDF/betaglucan/HORVU.MOREX.r3.3HG0299450__MGmin2__E0.8__elite_assignments.csv,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/Cache/betaglucan/HORVU.MOREX.r3.3HG0299450/HapObject.rds,success,""
betaglucan,HORVU.MOREX.r3.3HG0322580.vcf.gz,HORVU.MOREX.r3.3HG0322580,Xylan glycosyltransferase MUCI21-like,0.5,2,0.0173179672336554,170,4,26|35|50|59,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/CombinedPDF/betaglucan/HORVU.MOREX.r3.3HG0322580__MGmin2__E0.5.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/Heatmaps/betaglucan/HORVU.MOREX.r3.3HG0322580__MGmin2__E0.5__heatmaps.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/CombinedPDF/betaglucan/HORVU.MOREX.r3.3HG0322580__MGmin2__E0.5__elite_assignments.csv,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/Cache/betaglucan/HORVU.MOREX.r3.3HG0322580/HapObject.rds,success,""
fiber,HORVU.MOREX.r3.7HG0729010.vcf.gz,HORVU.MOREX.r3.7HG0729010,HORVU.MOREX.r3.7HG0729010,0.5,2,8.97243157487409e-07,234,2,17|217,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/CombinedPDF/fiber/HORVU.MOREX.r3.7HG0729010__MGmin2__E0.5.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/Heatmaps/fiber/HORVU.MOREX.r3.7HG0729010__MGmin2__E0.5__heatmaps.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/CombinedPDF/fiber/HORVU.MOREX.r3.7HG0729010__MGmin2__E0.5__elite_assignments.csv,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/Cache/fiber/HORVU.MOREX.r3.7HG0729010/HapObject.rds,success,""
fiber,HORVU.MOREX.r3.7HG0642350.vcf.gz,HORVU.MOREX.r3.7HG0642350,Putative BAHD Acyltransferase,0.2,2,0.00401178992583345,186,5,25|28|34|43|56,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/CombinedPDF/fiber/HORVU.MOREX.r3.7HG0642350__MGmin2__E0.2.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/Heatmaps/fiber/HORVU.MOREX.r3.7HG0642350__MGmin2__E0.2__heatmaps.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/CombinedPDF/fiber/HORVU.MOREX.r3.7HG0642350__MGmin2__E0.2__elite_assignments.csv,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/Cache/fiber/HORVU.MOREX.r3.7HG0642350/HapObject.rds,success,""
starch,HORVU.MOREX.r3.3HG0301750.vcf.gz,HORVU.MOREX.r3.3HG0301750,HORVU.MOREX.r3.3HG0301750,0.4,2,6.8153995117069e-09,196,3,14|89|93,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/CombinedPDF/starch/HORVU.MOREX.r3.3HG0301750__MGmin2__E0.4.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/Heatmaps/starch/HORVU.MOREX.r3.3HG0301750__MGmin2__E0.4__heatmaps.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/CombinedPDF/starch/HORVU.MOREX.r3.3HG0301750__MGmin2__E0.4__elite_assignments.csv,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/Cache/starch/HORVU.MOREX.r3.3HG0301750/HapObject.rds,success,""
starch,HORVU.MOREX.r3.3HG0301770.vcf.gz,HORVU.MOREX.r3.3HG0301770,"Alpha-glucan phosphorylase, H isozyme",0.8,3,0.000394224394369583,202,4,14|16|21|151,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/CombinedPDF/starch/HORVU.MOREX.r3.3HG0301770__MGmin3__E0.8.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/Heatmaps/starch/HORVU.MOREX.r3.3HG0301770__MGmin3__E0.8__heatmaps.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/CombinedPDF/starch/HORVU.MOREX.r3.3HG0301770__MGmin3__E0.8__elite_assignments.csv,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/Cache/starch/HORVU.MOREX.r3.3HG0301770/HapObject.rds,success,""
starch,HORVU.MOREX.r3.3HG0301710.vcf.gz,HORVU.MOREX.r3.3HG0301710,Phosphate transporter 43 PHT / Anion transporter,0.85,2,1.71828152728313e-10,205,4,21|25|31|128,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/CombinedPDF/starch/HORVU.MOREX.r3.3HG0301710__MGmin2__E0.85.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/Heatmaps/starch/HORVU.MOREX.r3.3HG0301710__MGmin2__E0.85__heatmaps.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/CombinedPDF/starch/HORVU.MOREX.r3.3HG0301710__MGmin2__E0.85__elite_assignments.csv,/mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Wild_And_Elite/Target_Genes_analysis_Crosshap_Heatmap_Violin_Graphs/Runs/8_Genes_Analysis_Upgraded_Heatmaps_V2/Cache/starch/HORVU.MOREX.r3.3HG0301710/HapObject.rds,success,""
