[2026-03-22 09:47:39] [INFO] [stage=run] Run started.
[2026-03-22 09:47:39] [INFO] [stage=run] Run ID: All_Genes_All_Traits_V2
[2026-03-22 09:47:39] [INFO] [stage=run] Event log path: /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Haplotype_Analysis_All_Genes/Runs/All_Genes_All_Traits_V2/Logs/event_log_All_Genes_All_Traits_V2_20260322_094739.csv
[2026-03-22 09:47:39] [INFO] [stage=run] Traits: betaglucan, fiber, starch
[2026-03-22 09:47:39] [INFO] [stage=run] MGmin values: 2, 3
[2026-03-22 09:47:39] [INFO] [stage=run] Epsilon vector: 0.05, 0.2, 0.4, 0.5, 0.6, 0.8, 0.85
[2026-03-22 09:47:39] [INFO] [stage=discovery] Auto-generated targets file: targets.yaml
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.2HG0191480.vcf.gz] Discovered target 36/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.2HG0191490.vcf.gz] Discovered target 37/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.2HG0191510.vcf.gz] Discovered target 38/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.2HG0191520.vcf.gz] Discovered target 39/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.2HG0191530.vcf.gz] Discovered target 40/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.2HG0191540.vcf.gz] Discovered target 41/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.2HG0191550.vcf.gz] Discovered target 42/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.2HG0191570.vcf.gz] Discovered target 43/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.2HG0191580.vcf.gz] Discovered target 44/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0225270.vcf.gz] Discovered target 45/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0225280.vcf.gz] Discovered target 46/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0225290.vcf.gz] Discovered target 47/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0225300.vcf.gz] Discovered target 48/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0225310.vcf.gz] Discovered target 49/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0225320.vcf.gz] Discovered target 50/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0225330.vcf.gz] Discovered target 51/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0225340.vcf.gz] Discovered target 52/158
