"trait_name","total_snps","valid_snps","min_raw_p_value","max_minus_log10_p","min_bh_q_value","n_q_le_0_05","n_q_le_0_10","n_bonferroni","n_bonferroni_0_10","bonferroni_0_05_cutoff_raw_p","bonferroni_0_10_cutoff_raw_p","bh_q_0_05_cutoff_raw_p","bh_q_0_05_cutoff_minus_log10_p","bh_q_0_10_cutoff_raw_p","bh_q_0_10_cutoff_minus_log10_p","lambda_gc"
"betaglucan_corrected_V3",7110996,7110996,1.396478014e-10,9.85496589739487,0.000993034957164195,77,277,5,7,7.03136382020184e-09,1.40627276404037e-08,4.854788319e-07,6.31382970167656,3.887807524e-06,5.41029524408884,0.979794425194536
"fiber_corrected_V3",7110996,7110996,1.208844672e-08,7.91762949932702,0.0758975182216282,0,3,0,1,7.03136382020184e-09,1.40627276404037e-08,NA,NA,3.201978382e-08,7.49458160452471,0.982732992305983
"protein_corrected_V3",7110996,7110996,1.319037998e-07,6.87974269339675,0.665480493912829,0,0,0,0,7.03136382020184e-09,1.40627276404037e-08,NA,NA,NA,NA,0.989802924957012
"starch_corrected_V3",7110996,7110996,6.496748043e-08,7.18730397572449,0.193777786643894,0,0,0,0,7.03136382020184e-09,1.40627276404037e-08,NA,NA,NA,NA,0.998922749746226
