Bin	Sum_R2	SumSq_R2	N_Pairs
1688000	213900	102612	2145893
1689000	213787	102230	2153595
1690000	214410	102504	2164599
1691000	213775	102567	2151085
1692000	212648	102136	2140273
1693000	212928	102054	2146984
1694000	213052	102023	2148951
1695000	214197	102788	2151648
1696000	214528	102907	2158445
1697000	213928	102325	2164946
1698000	214292	102756	2159768
1699000	215642	103688	2166081
1700000	214146	102879	2162611
1701000	214714	102898	2171435
1702000	215444	103428	2174825
1703000	215915	103620	2184257
1704000	215115	103077	2182992
1705000	215635	103325	2187652
1706000	214823	103114	2173458
1707000	215988	103947	2174134
1708000	216280	104110	2179373
1709000	215932	104292	2166276
1710000	214198	103310	2150803
1711000	214313	103450	2147490
1712000	215490	104354	2156649
1713000	214898	103701	2155902
1714000	214240	103007	2156466
1715000	211031	101770	2132753
1716000	213155	102685	2146261
1717000	212690	102338	2140573
1719000	213223	102574	2160491
1720000	212785	102635	2141114
1721000	213786	103281	2138493
1722000	213909	103100	2151372
1723000	213193	102919	2141142
1724000	215507	103917	2161960
1725000	213642	102830	2149805
1726000	215006	103256	2174864
1727000	213524	102694	2159309
1728000	214275	103392	2151481
1729000	214630	103580	2154051
1731000	212880	102165	2159959
1732000	214618	103109	2168397
1733000	214050	102422	2172340
1734000	214147	102693	2170609
1735000	213905	102567	2165655
1736000	213907	102954	2161243
1737000	213640	103002	2158325
1738000	214593	103659	2158573
1739000	214726	103624	2161043
1740000	213309	102691	2156914
1741000	215459	103952	2171979
1742000	215425	103895	2173151
1743000	214417	103265	2168381
1744000	214771	103491	2168172
1745000	215778	103761	2179314
1747000	214308	102855	2180588
1748000	215459	103452	2176901
1749000	214895	103252	2164709
1750000	214763	103286	2164071
1751000	214719	103314	2170233
1752000	213620	102775	2161716
1753000	215331	103552	2179887
1754000	216814	104510	2179958
1755000	216688	104338	2188194
1756000	216958	104366	2191308
1757000	217477	104713	2191191
1758000	216543	103993	2191417
1759000	216028	103875	2180851
1760000	214636	103043	2171022
1761000	214478	103236	2164566
1762000	215045	103451	2172159
1763000	214319	102987	2171400
1764000	214034	102523	2176119
1765000	213503	102196	2174706
1766000	213352	102266	2175663
1767000	214402	103087	2163011
1768000	213018	102500	2148152
1769000	212615	102323	2157311
1770000	212916	102379	2167004
1771000	212868	102540	2156884
1772000	212441	102321	2152761
1773000	211725	102101	2143599
1774000	214545	103303	2176632
1775000	213851	102827	2175915
1776000	213714	102802	2171384
1777000	213234	102633	2168004
1778000	213643	102622	2166925
1779000	212245	102030	2154011
1780000	212895	101745	2181702
1781000	212448	101146	2188700
1782000	212533	101597	2178253
1783000	211568	101088	2168992
