"trait","group1","group2","n1","n2","Z","p","p_adj_BH","p_adj_signif","highlight"
"Fiber","North","HZ3 (Coast-Desert)",40,50,4.4203,9.85499589578829e-06,3.69562346092061e-05,"****",""
"Fiber","Coast","Desert",50,50,3.4534,0.000553619686851352,0.00166085906055406,"**",""
"Fiber","Coast","HZ1 (North-Coast)",50,50,-2.1846,0.0289186790536893,0.0433780185805339,"*",""
"Fiber","Coast","HZ2 (North-Desert)",50,50,-2.026,0.042765230465175,0.0583162233616022,"ns",""
"Fiber","Coast","HZ3 (Coast-Desert)",50,50,1.1519,0.249354017232972,0.267165018463899,"ns",""
"Fiber","Desert","HZ1 (North-Coast)",50,50,-5.638,1.72068591185901e-08,1.29051443389426e-07,"****",""
"Fiber","Desert","HZ2 (North-Desert)",50,50,-5.4794,4.26842389317685e-08,2.13421194658842e-07,"****",""
"Fiber","Desert","HZ3 (Coast-Desert)",50,50,-2.3015,0.0213659408384859,0.0356099013974766,"*",""
"Fiber","HZ1 (North-Coast)","HZ2 (North-Desert)",50,50,0.1586,0.873985873881249,0.873985873881249,"ns",""
"Fiber","HZ1 (North-Coast)","HZ3 (Coast-Desert)",50,50,3.3365,0.00084836417792419,0.0018325148301806,"**",""
"Fiber","HZ2 (North-Desert)","HZ3 (Coast-Desert)",50,50,3.1779,0.00148337984600236,0.00278133721125443,"**",""
