Bin	Sum_R2	SumSq_R2	N_Pairs
227000	196290	107777	1535517
228000	196455	107515	1546341
229000	195304	106942	1538227
230000	196025	107117	1544480
231000	195826	106875	1542139
232000	195639	106596	1540871
233000	196423	107467	1540349
234000	197661	107834	1548334
235000	196735	107260	1544961
236000	197178	107605	1546533
237000	195154	106271	1543354
238000	193736	105170	1534542
239000	191581	103296	1538228
240000	190153	103204	1515876
241000	189013	102533	1507118
242000	188426	101858	1507227
243000	188545	101990	1507814
244000	187908	101595	1506565
245000	185888	100013	1495122
246000	185716	100401	1492939
247000	186477	100740	1503517
248000	187327	100083	1531257
249000	186591	99749.2	1526896
250000	184891	98370.4	1525827
251000	182954	96968.8	1518188
252000	182804	97284.9	1516629
253000	180237	95696.3	1501751
254000	178595	94330.5	1502032
255000	181127	96091.6	1502131
257000	180368	95813.1	1493019
258000	180721	96294.6	1487647
259000	178293	94451.1	1492488
261000	176248	93341.3	1481095
262000	177667	94395.9	1486672
263000	178608	94909.7	1496065
264000	177055	94040.7	1480530
265000	177173	93538.8	1491881
266000	177030	94148.6	1483629
267000	176929	94231.6	1474415
268000	177683	93949.5	1493687
269000	180115	95748.8	1504246
270000	179002	94901.1	1493595
271000	177524	93746.4	1490528
272000	177276	93837.1	1487352
273000	177023	93435.4	1490275
274000	175448	92088	1490549
275000	174962	91454.9	1493535
276000	175547	91933.6	1495336
277000	173637	91148.2	1483818
278000	176422	92340.7	1506037
279000	175688	92046	1504784
280000	175280	91722.4	1498088
281000	176497	92598.6	1508688
282000	175802	91452.7	1519769
283000	176157	92000.5	1520471
284000	177499	92325.2	1541672
285000	176053	91182	1547579
286000	175837	90961.6	1542721
287000	175381	90767.6	1536649
288000	174721	90731	1528767
289000	175350	90489.3	1538682
290000	173485	89611.3	1523963
291000	172670	89268.4	1513350
292000	171526	89336	1491603
293000	170806	88885.8	1491013
294000	170846	88813.4	1486318
295000	170026	87909.6	1485583
296000	170197	88363.3	1486806
297000	170224	88204.8	1497440
298000	170324	88340.5	1503210
299000	170228	88183.5	1502511
300000	170176	88106.8	1492897
301000	169996	88045.8	1487649
302000	168835	87755.6	1475771
304000	168896	87968.1	1471657
305000	168376	87602.4	1472065
306000	167556	87019.7	1469937
307000	167287	86793.4	1466974
308000	167436	86702	1471221
309000	166099	85680.3	1466292
310000	168225	87381.6	1468797
311000	166506	86279.5	1465480
312000	164890	85213.3	1451560
313000	165705	85652.2	1456086
314000	165389	85357	1460682
316000	164742	84765.4	1467385
317000	166633	86261.9	1472216
318000	167418	86739.2	1480512
319000	165217	84993.7	1482784
320000	168010	86984.4	1497108
321000	166387	85503.6	1504895
322000	166779	86193.7	1499896
323000	163817	83942.4	1482013
324000	164366	84684.5	1471818
325000	163092	84233.8	1462930
326000	163599	84613.4	1463369
327000	161790	83244.6	1455818
328000	161458	82739.8	1462728
330000	163017	83300.2	1475499
331000	162275	82544.6	1475268
332000	160929	81762.8	1468734
333000	161418	82476.6	1459293
334000	160580	82030.1	1457304
335000	160946	82147	1455959
336000	160442	81202.4	1464508
337000	160797	81480.8	1467536
338000	160855	81591.7	1469103
339000	160854	82096.9	1467230
340000	162021	82717.2	1478386
341000	162858	83383.9	1482990
342000	162157	82770.6	1478209
343000	160119	81423.4	1458716
344000	161538	82708	1462741
345000	160730	81738.3	1469319
346000	159195	80790.8	1463982
347000	158882	80834.1	1462617
348000	158065	79979.3	1454000
349000	157592	79464	1458471
350000	157561	79540.2	1454092
351000	157356	79259.9	1461800
352000	156492	78689.6	1447299
353000	155491	78373.2	1440255
354000	155627	77748.6	1455078
355000	155069	77320.9	1453600
356000	155852	77707.7	1464880
357000	154705	77214.2	1460132
358000	154768	77277.9	1457305
359000	155036	77149.6	1463406
360000	154484	76851.5	1462129
361000	155306	77439.9	1465468
362000	154451	77108.9	1458537
363000	152853	76216.4	1448914
364000	155526	77424	1471690
365000	155384	77617.4	1463950
366000	154291	76898.3	1458064
368000	154062	76749.5	1465716
369000	153596	76556.3	1454019
370000	152401	75428.6	1461390
371000	153085	76314.7	1454282
372000	152799	76017.7	1456015
373000	151299	75127.1	1444296
374000	150900	74717.3	1447242
375000	153188	76216.6	1446443
376000	152521	75486.1	1456423
377000	151840	75781.9	1438049
378000	151440	75042.2	1445163
379000	151323	74737.9	1449924
380000	151899	74985.8	1458086
381000	151911	74673.5	1466328
383000	151312	74453.9	1470241
384000	150208	73925.4	1463302
385000	149775	73404.9	1462651
386000	148693	72863.5	1451112
387000	149831	73501	1459333
388000	149702	73387	1459808
389000	148734	72921.9	1451638
390000	149485	73412.3	1447432
391000	149442	73924	1436407
392000	149477	73799	1437732
393000	149960	73849	1449007
394000	150142	74233	1443373
395000	148605	73484.4	1426609
396000	148803	73330.5	1444249
398000	147253	72804	1429325
399000	147844	73020.7	1431581
400000	147612	72979.6	1434384
401000	147780	72358.2	1453351
402000	148071	72928	1457682
403000	148431	73850.5	1438944
404000	148736	73687.4	1440290
405000	148205	73380.6	1438049
406000	147345	73288.4	1427124
407000	146554	72388.9	1431489
408000	145750	72215	1428063
409000	145364	71990.7	1409753
410000	145838	72228	1422628
411000	146775	72170.8	1441168
412000	145339	71283.5	1431131
413000	144876	71004.2	1427060
414000	144988	70619.3	1433748
415000	145516	71068.5	1441103
416000	144958	70198.1	1452481
417000	145617	70818	1457768
418000	144231	70196.1	1445539
419000	144146	70096.5	1438103
420000	143480	69366.8	1441878
421000	143186	68983.4	1447027
422000	145384	70153.8	1463937
423000	143835	69184.7	1449636
424000	142872	68575.7	1449586
425000	143218	68888.4	1448131
426000	141244	67587.2	1439994
427000	142254	68193.9	1446687
428000	142344	68137.7	1450383
429000	140920	67497.9	1436872
430000	141101	67627.2	1440823
431000	140822	67434.5	1437874
432000	141097	67618.2	1435938
433000	139696	66564.7	1429388
434000	139937	67039.3	1431652
435000	139237	66891.2	1421587
436000	138740	66619.1	1418248
437000	139670	67287.4	1426781
438000	139563	67505	1423024
439000	140982	68675.1	1419358
440000	140292	67693.3	1424892
441000	138535	66549.7	1410307
442000	137954	65918.7	1423083
443000	138219	66242.5	1417195
444000	138791	66466	1421222
445000	137454	65740.1	1417952
446000	138432	66702.8	1421560
447000	138917	67291.5	1418847
449000	137362	66299.7	1411035
450000	136865	66025.9	1412703
451000	137167	66264	1415326
452000	136792	66333.6	1399769
453000	139042	67175.9	1424814
454000	136751	65725.7	1415296
455000	137246	66033.2	1426921
456000	138774	66779.8	1432300
457000	136710	65785.8	1423429
459000	137226	65999.4	1427093
460000	136046	64978.2	1423198
461000	135665	64434.1	1428976
462000	136514	64913.4	1432904
463000	135763	64479	1428911
464000	134576	63776.6	1425512
465000	135961	64999.7	1423833
466000	135687	64931.6	1421323
467000	135476	64519	1423091
468000	133354	63132.4	1405552
469000	133407	63389.6	1394835
470000	134519	64180.1	1398968
471000	133553	63674.5	1395371
472000	132741	63316.9	1386157
473000	132455	62901.3	1393028
474000	131959	62688	1385987
475000	130791	61855.1	1378928
476000	132309	62982.2	1391953
477000	132929	63195.7	1399442
478000	133568	63216.4	1411127
479000	134527	63917.5	1422117
480000	133480	63070.2	1432776
482000	132777	62732.7	1421063
483000	133470	63263.3	1420386
484000	133658	63031.2	1427593
485000	133747	63099.7	1426144
486000	133689	63090	1428537
487000	134557	63372.9	1432865
488000	134466	63335.2	1437722
489000	133719	63317.5	1428264
490000	133738	62936.8	1433869
491000	133806	62992.8	1439346
492000	133496	62767.5	1435936
493000	133739	63279.1	1437130
494000	134432	63588	1439565
495000	133243	62831	1433413
496000	131833	62428.2	1412554
497000	133188	63042.9	1423410
499000	133740	63539.2	1427534
500000	134154	63784.9	1429070
501000	133813	63811.3	1423903
502000	133805	63711.2	1430770
503000	132994	63125	1426312
504000	132393	62640.3	1423961
505000	131366	62046.6	1422651
507000	131430	61877.6	1417628
508000	131839	62498.4	1422071
509000	131924	62372.6	1429235
510000	130548	61352.7	1422430
511000	131448	62288.3	1424258
512000	131990	62450.8	1429798
513000	130820	61690.3	1425920
514000	130102	61513.3	1407665
515000	130683	61623.5	1405745
516000	129170	61201.9	1390491
517000	131032	62150.6	1402737
518000	128900	61139.3	1386140
519000	128594	60748.8	1383919
520000	129183	60997.1	1397266
521000	129919	61678.7	1398510
522000	127455	60032.6	1392711
523000	126257	59494.9	1384975
524000	127145	59581.3	1398496
525000	127706	59869.9	1406441
526000	127936	59805.9	1411532
527000	129710	60894	1434682
528000	129660	60648.7	1433050
529000	128763	59965.5	1435833
531000	129746	60466.5	1448679
532000	129428	60217.8	1440407
533000	127809	59383	1430423
534000	128436	60002.8	1427756
535000	126898	58813.6	1424024
536000	127311	59187.2	1421529
537000	128464	59859.5	1427162
538000	128631	59923.4	1426895
539000	127780	59663.1	1416440
540000	128813	60333.7	1423349
541000	129617	60792.7	1429803
542000	128733	60076.4	1422963
543000	128727	60625.2	1410443
544000	129826	60607.3	1426742
545000	128177	59678	1417885
546000	128843	60205.7	1414511
547000	128023	59588.7	1416411
548000	128628	59663.9	1435974
