Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
14	:	1779887235.910	   273.865	0	54800	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/fiber_corrected_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc5.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__fiber__BLUP__pc5
5	:	1779887235.888	   278.658	0	54991	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/BLUE_protein_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc5.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__protein__BLUE__pc5
17	:	1779887235.918	   279.634	0	54841	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/BLUE_fiber_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc5.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__fiber__BLUE__pc5
20	:	1779887235.924	   297.678	0	54892	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/betaglucan_corrected_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc5.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__betaglucan__BLUP__pc5
12	:	1779887235.905	   313.648	0	54784	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/BLUE_starch_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc10.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__starch__BLUE__pc10
6	:	1779887235.890	   314.250	0	54728	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/BLUE_protein_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc10.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__protein__BLUE__pc10
9	:	1779887235.897	   314.678	0	54786	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/starch_corrected_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc10.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__starch__BLUP__pc10
3	:	1779887235.884	   318.082	0	54744	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/protein_corrected_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc10.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__protein__BLUP__pc10
18	:	1779887235.920	   323.065	0	54537	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/BLUE_fiber_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc10.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__fiber__BLUE__pc10
15	:	1779887235.913	   326.274	0	54554	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/fiber_corrected_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc10.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__fiber__BLUP__pc10
22	:	1779887487.982	   255.449	0	55014	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/BLUE_betaglucan_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc3.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__betaglucan__BLUE__pc3
23	:	1779887489.933	   270.765	0	54932	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/BLUE_betaglucan_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc5.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__betaglucan__BLUE__pc5
21	:	1779887487.764	   313.192	0	54651	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/betaglucan_corrected_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc10.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__betaglucan__BLUP__pc10
24	:	1779887490.360	   313.768	0	54698	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/BLUE_betaglucan_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc10.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__betaglucan__BLUE__pc10
